"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
15006206;"THE INTERNSHIP";"OS ESTAGIÁRIOS";2013;"SHAWN LEVY";"2013-08-15"
15008426;"TERRAFERMA";"TERRA FIRME";2011;"EMANUELE CRIALESE";"2013-08-15"
15008440;"WHAT MAISIE KNEW";"PELOS OLHOS DE MAISIE";2012;"DAVID SIEGEL";"2013-08-15"
16001407;"ONE DIRECTION: THIS IS US";"ONE DIRECTION: THIS IS US";2013;"MORGAN SPURLOCK";"2013-08-15"
708615;"CONFIA EM MIM";"CONFIA EM MIM";2012;"MICHEL ALENCAR TIKHOMIROFF";"2013-08-15"
714250;"REVENDO AMOR- COM POUCO USO, QUASE NA CAIXA";"REVENDO AMOR- COM POUCO USO, QUASE NA CAIXA";2012;"ALAN RAFFO";"2013-08-15"
702664;"O INVENTOR DE SONHOS";"O INVENTOR DE SONHOS";2006;"RICARDO CLAUDIO NAUENBERG";"2013-08-14"
15006275;"MALAVITA";"A FAMÍLIA";2013;"LUC BESSON";"2013-08-13"
16001408;"LOVELACE";"LOVELACE";2013;"JEFFREY FRIEDMAN;ROB EPSTEIN";"2013-08-13"
15002829;"THE WOLVERINE";"WOLVERINE: IMORTAL";2013;"JAMES MANGOLD";"2013-08-08"
15004992;"FOXFIRE";"FOXFIRE - CONFISSÕES DE UMA GANGUE DE GAROTAS";2012;"LAURENT CANTET";"2013-08-08"
16002337;"TEAM HOT WHEELS ""WORLD'S BEST DRIVER”";"TEAM HOT WHEELS ""O MELHOR PILOTO DO MUNDO""";2013;"MIKE MCCOY";"2013-08-07"
532464;"MEA CULPA";"MEA CULPA";2011;"JÚLIO CÉSAR BARBOSA LELIS";"2013-08-07"
653177;"A SORTE EM SUAS MÃOS";"A SORTE EM SUAS MÃOS";2012;"DANIEL BURMAN";"2013-08-07"
15005928;"THE HEAT";"AS BEM ARMADAS";2013;"PAUL FEIG";"2013-08-06"
711489;"HIJAB, MULHERES DE VÉU";"HIJAB, MULHERES DE VÉU";2012;"PAULO SERGIO CRISTIAN HALM";"2013-08-05"
15004100;"BLUE JASMINE";"BLUE JASMINE";2013;"WOODY ALLEN";"2013-08-02"
15004111;"RIDDICK";"RIDDICK 3";2013;"DAVID TWOHY";"2013-08-02"
686520;"FLORES RARAS";"FLORES RARAS";2012;"BRUNO VILLELA BARRETO BORGES";"2013-08-02"
712785;"SATYRIANAS, 78HORAS EM 78 MIN";"SATYRIANAS, 78HORAS EM 78 MIN";2011;"DANIEL GAGGINI";"2013-08-02"
15006769;"PERCY JACKSON: SEA OF MONSTERS";"PERCI JACKSON E O MAR DE MONSTROS";2013;"THOR FREUDENTHAL";"2013-08-01"
16002329;"DRAGON BALL Z: THE BATTLE OF GODS";"DRAGON BALL Z: A BATALHA DOS DEUSES";2013;"MASAHIRO HOSODA";"2013-08-01"
714899;"BOA SORTE, MEU AMOR";"BOA SORTE, MEU AMOR";2013;"DANIEL ARAGAO CAVALCANTI";"2013-08-01"
15004346;"RUSH";"RUSH: NO LIMITE DA EMOÇÃO";2013;"RON HOWARD";"2013-07-31"
714510;"SOLIDÕES";"SOLIDÕES";2013;"OSWALDO VIVEIROS MONTENEGRO";"2013-07-31"
543990;"REUS";"REUS";2010;"ALEJANDRO PI";"2013-07-30"
663973;"A FLORESTA DE JONATHAS";"A FLORESTA DE JONATHAS";2012;"SERGIO JOSE DE ANDRADE";"2013-07-30"
15003833;"TURBO";"TURBO";2013;"DAVID SOREN";"2013-07-29"
638820;"SEDUÇÃO";"SEDUÇÃO";2011;"JULIANO COSTA BENDAZOLI";"2013-07-29"
647751;"PARAISO DAS BUNDAS";"PARAISO DAS BUNDAS";2012;"JULIANO COSTA BENDAZOLI";"2013-07-29"
14023804;"LA RELIGIEUSE";"A RELIGIOSA";2013;"GUILLAUME NICLOUX";"2013-07-24"
16001404;"AI WEIWEI: NEVER SORRY";"AI WEIWEI: SEM PERDÃO";2012;"ALISON KLAYMAN";"2013-07-24"
619181;"POR QUE VOCÊ PARTIU?";"POR QUE VOCÊ PARTIU?";2012;"ERIC MARDOCHE BELHASSEN";"2013-07-24"
707123;"AS HORAS VULGARES";"AS HORAS VULGARES";2011;"RODRIGO DE OLIVEIRA SILVA";"2013-07-24"
712849;"BANHO";"BANHO";2013;"PAULO ROBERTO DE OLIVEIRA";"2013-07-24"
712762;"AVANTI POPOLO";"AVANTI POPOLO";2012;"MICHAEL WAHRMANN STEIN";"2013-07-19"
14028254;"TANTA AGUA";"TANTA ÁGUA";2013;"ANA GUEVARA";"2013-07-18"
16001490;"MORTAL INSTRUMENTS CITY OF BONES";"OS INSTRUMENTOS MORTAIS CIDADE DOS OSSOS";2013;"HARALD ZWART";"2013-07-18"
709614;"SORRIA, VOCÊ ESTA NA BARRA.";"SORRIA, VOCÊ ESTA NA BARRA.";2011;"IZABEL JAGUARIBE DE MATTOS";"2013-07-18"
16001492;"LE SKYLAB";"O VERÃO DO SKYLAB";2011;"JULIE DELPY";"2013-07-17"
14025203;"R.I.P.D.";"R.I.P.D. - AGENTES DO ALÉM";2013;"ROBERT SCHWENTKE";"2013-07-16"
15003490;"JOBS";"JOBS";2013;"JOSHUA MICHAEL STERN";"2013-07-15"
15005222;"WRONG";"WRONG";2012;"QUENTIN DUPIEUX";"2013-07-15"
16001495;"PLANES";"AVIÕES";2013;"KLAY HALL";"2013-07-15"
16001026;"MUD";"AMOR BANDIDO";2012;"JEFF NICHOLS";"2013-07-12"
713230;"A ALMA DA GENTE";"A ALMA DA GENTE";2013;"DAVID YALE MEYER";"2013-07-12"
16001496;"FRANCES HA";"FRANCES HA";2012;"NOAH BAUMBACH";"2013-07-08"
529101;"ATERRO";"ATERRO";2010;"MARCELO REIS";"2013-07-08"
15002591;"PACIFIC RIM";"CÍRCULO DE FOGO";2013;"GUILLERMO DEL TORO";"2013-07-05"
15001767;"MARINA ABRAMOVIC: THE ARTISTS IS PRESENT";"MARINA ABRAMOVIC: UMA ARTISTA PRESENTE";2012;"JEFF DUPRE";"2013-07-03"
16002330;"RED 2";"RED 2:  APOSENTADOS E AINDA MAIS PERIGOSOS";2013;"DEAN PARISOT";"2013-07-03"
709323;"BRAND FILM MAX STEEL";"FILME DA MARCA MAX STEEL";2012;"STEPHEN SOMMERS";"2013-07-03"
16001566;"THE GOOD , THE BAD AND THE SLUTTY";"A BOA A MÁ E A VADIA";2006;"JUAN CUBA";"2013-07-02"
16001567;"ASSAULT THAT ASS 11";"B... ALUCINANTES 11";2007;"JOHN STRONG";"2013-07-02"
638839;"TRANSANDO GOSTOSO";"TRANSANDO GOSTOSO";2012;"JULIANO COSTA BENDAZOLI";"2013-07-02"
16001024;"CAMILLE CLAUDEL 1915";"CAMILLE CLAUDEL 1915";2013;"BRUNO DUMONT";"2013-06-26"
16001579;"JOVEN Y ALOCADA";"JOVEM ALOUCADA";2012;"MARIALY RIVAS";"2013-06-25"
710524;"CALEUCHE, O CHAMADO DO MAR";"CALEUCHE, O CHAMADO DO MAR";2013;"JORGE OLGUÍN";"2013-06-25"
391064;"PAU BRASIL - UMA VILA PERDIDA NO TEMPO";"PAU BRASIL - UMA VILA PERDIDA NO TEMPO";2009;"FERNANDO ANTONIO DA SILVA BELENS";"2013-06-17"
711567;"CARRERAS";"CARRERAS";2013;"SALETE PAULINA MACHADO SIRINO";"2013-06-17"
15001070;"2 GUNS";"DOSE DUPLA";2013;"BALTASAR KORMÁKUR";"2013-06-14"
15005131;"JUST LIKE A WOMAN";"SIMPLESMENTE UMA MULHER";2012;"RACHID BOUCHAREB";"2013-06-14"
16001589;"LES CONTES DE LA NUIT";"CONTOS DA NOITE";2011;"MICHEL OCELOT";"2013-06-14"
680794;"O RENASCIMENTO DO PARTO - O FILME";"O RENASCIMENTO DO PARTO - O FILME";2013;"EDUARDO HENRIQUE LEON CHAUVET";"2013-06-13"
710943;"O CONCURSO";"O CONCURSO";2013;"PEDRO VASCONCELOS DE BRITO PEREIRA";"2013-06-13"
711836;"MINHA MÃE É UMA PEÇA";"MINHA MÃE É UMA PEÇA";2013;"ANDRE PELLENZ";"2013-06-13"
16001610;"OVSYANKI";"ALMAS SILENCIOSAS";2010;"ALEKSEY FEDORCHENKO";"2013-06-12"
713699;"NABUCCO";"NABUCCO";2013;"DANIELE ABBADO";"2013-06-12"
15004990;"BLANCANIEVES";"BRANCA DE NEVE";2012;"PABLO BERGER";"2013-06-11"
16001591;"THE LONE RANGER";"O CAVALEIRO SOLITÁRIO";2013;"GORE VERBINSKI";"2013-06-11"
710126;"A BATALHA DO PASSINHO";"A BATALHA DO PASSINHO";2012;"EMILIO ROBERTO DE SOUZA DOMINGOS";"2013-06-07"
15002589;"MAN OF STEEL";"O HOMEM DE AÇO";2013;"ZACK SNYDER";"2013-06-06"
332809;"MEU AMIGO CLAUDIA";"MEU AMIGO CLAUDIA";2008;"DACIO PINHEIRO DE ANDRADE";"2013-06-06"
15008427;"DU VENT DANS MES MOLLETS";"FEITO GENTE GRANDE";2012;"CARINE TARDIEU";"2013-06-05"
669086;"A COLEÇÃO INVISÍVEL";"A COLEÇÃO INVISÍVEL";2012;"BERNARD DAVID ATTAL";"2013-06-05"
14026447;"WORLD WAR Z";"GUERRA MUNDIAL Z";2013;"MARC FORSTER";"2013-06-03"
15006196;"PAIN & GAIN";"SEM DOR, SEM GANHO";2013;"MICHAEL BAY";"2013-06-03"
15008359;"ELYSIUM";"ELYSIUM";2013;"NEILL BLOMKAMP";"2013-06-03"
15008395;"THIS IS THE END";"É O FIM";2013;"EVAN GOLDBERG";"2013-06-03"
15008398;"WHITE HOUSE DOWN";"O ATAQUE";2013;"ROLAND EMMERICH";"2013-06-03"
16001207;"CLOUDY WITH A CHANCE OF MEATBALLS 2";"TÁ CHOVENDO HAMBÚRGUER 2";2013;"CODY CAMERON";"2013-06-03"
16001592;"ON THE ROAD - SOUTH BEACH";"ROTA DO PRAZER";2007;"JUAN CUBA";"2013-06-03"
638847;"TARAS DE UM FOTOGRAFO";"TARAS DE UM FOTOGRAFO";2012;"JULIANO COSTA BENDAZOLI";"2013-06-03"
15006768;"STOKER";"SEGREDOS DE SANGUE";2013;"PARK CHAN-WOOK";"2013-05-29"
14025499;"LA FILLE MAL GARDÉE";"LA FILLE MAL GARDÉE";2014;"FREDERICK ASHTON'S";"2013-05-28"
555524;"ACASAELETRICA.DOC";"ACASAELETRICA.DOC";2011;"GUSTAVO CARVALHO FOGACA DE MEDEIROS";"2013-05-27"
711555;"AS MUITAS VIDAS DE VALÊNCIO XAVIER";"AS MUITAS VIDAS DE VALÊNCIO XAVIER";2012;"LUIZ ALBERTO GONCALVES";"2013-05-27"
15008360;"GROWN UPS 2";"GENTE GRANDE 2";2013;"DENNIS DUGAN";"2013-05-24"
15008428;"UNE ESTONIENNE À PARIS";"UMA DAMA EM PARIS";2012;"ILMAR RAAG";"2013-05-24"
15008438;"HANNAH ARENDT";"HANNAH ARENDT";2012;"MARGARETHE VON TROTTA";"2013-05-24"
709858;"O BRASIL DEU CERTO. E AGORA?";"O BRASIL DEU CERTO. E AGORA?";2013;"LOUISE SOTTOMAIOR PEREIRA";"2013-05-24"
15008392;"THE SMURFS 2";"OS SMURFS 2";2013;"RAJA GOSNELL";"2013-05-23"
16001596;"MONSTERS UNIVERSITY";"UNIVERSIDADE MONSTROS";2013;"DAN SCANLON";"2013-05-23"
15004915;"AUGUSTINE";"SANTO AGOSTINHO";2010;"CHRISTIAN DUGUAY";"2013-05-22"
16002331;"THE BLING RING";"BLING RING - A GANGUE DE HOLLYWOOD";2013;"SOFIA COPPOLA";"2013-05-21"
677609;"CHAMADA A COBRAR";"CHAMADA A COBRAR";2012;"ANA LUIZA MACHADO DA SILVA MUYLAERT";"2013-05-20"
686075;"FILME JARDIM ATLÂNTICO";"FILME JARDIM ATLÂNTICO";2012;"WILLIAM CUBITS CAPELA";"2013-05-20"
689394;"MUNDO INVISÍVEL";"MUNDO INVISÍVEL";2012;"ATOM EGOYAN";"2013-05-20"
710396;"RAÇA";"RAÇA";2012;"JOELZITO ALMEIDA DE ARAUJO";"2013-05-20"
15005765;"THE HANGOVER III";"SE BEBER, NÃO CASE! PARTE III";2013;"TODD PHILLIPS";"2013-05-17"
15008416;"LA MER À L'AUBE";"O MAR AO AMANHECER";2011;"VOLKER SCHLÖNDORFF";"2013-05-17"
15008421;"NORUWEI NO MORI";"COMO NA CANÇÃO DOS BEATLES - NORWEGIAN WOOD";2010;"TRAN ANH HUNG";"2013-05-17"
15004998;"MORE THAN HONEY";"MAIS QUE MEL";2012;"MARKUS IMHOOF";"2013-05-16"
16001594;"BIR ZAMANLAR ANADOLU'DA";"ERA UMA VEZ NA ANATOLIA";2011;"NURI BILGE CEYLAN";"2013-05-16"
705990;"PRA LÁ DO MUNDO";"PRA LÁ DO MUNDO";2012;"ROBERTO STUDART RAMOS DE QUEIROZ FILHO";"2013-05-16"
16002336;"BEFORE MIDNIGHT";"ANTES DA MEIA NOITE";2013;"RICHARD LINKLATER";"2013-05-15"
693110;"ELLA";"ELLA";2012;"LUIZ ANTONIO DA SILVA";"2013-05-14"
15007823;"AFTER EARTH";"DEPOIS DA TERRA";2013;"M. NIGHT SHYAMALAN";"2013-05-13"
16001864;"KON-TIKI";"EXPEDIÇÃO KON TIKI";2012;"JOACHIM RØNNING, ESPEN SANDBERG";"2013-05-13"
671509;"VESTIDO DE LAERTE";"VESTIDO DE LAERTE";2012;"CLAUDIA PRISCILLA ANDRADE GOIFMAN";"2013-05-10"
710180;"GIOVANNI IMPROTTA";"GIOVANNI IMPROTTA";2011;"JOSE WILKER ALMEIDA";"2013-05-10"
15001643;"A CLOCKWORK ORANGE";"LARANJA MECÂNICA";1971;"STANLEY KUBRICK";"2013-05-09"
15003798;"EPIC";"REINO ESCONDIDO";2013;"CHRIS WEDGE";"2013-05-09"
16001606;"TESIS SOBRE UN HOMICIDIO";"TESE SOBRE UM HOMICÍDIO";2013;"HERNÁN GOLFRID";"2013-05-07"
16001599;"UNA NOCHE";"UMA NOITE";2012;"LUCY MULLOY";"2013-05-06"
699801;"CORES";"CORES";2012;"FRANCISCO FAGGION GARCIA";"2013-05-03"
16001598;"GAMBIT";"UM GOLPE PERFEITO";2012;"MICHAEL HOFFMAN";"2013-04-30"
14026411;"L'ÉCUME DES JOURS";"ESPUMA DOS DIAS, A";2013;"MICHEL GONDRY";"2013-04-29"
15006167;"NOW YOU SEE ME";"TRUQUE DE MESTRE";2013;"LOUIS LETERRIER";"2013-04-29"
16001600;"SPORT GIRLS";"JOGOS DE PRAZER";2008;"WILLIAN H.";"2013-04-29"
16001601;"BRIANNA LOVE IS BUTTWOMAN";"BRIANNA LOVE IS BUTTWOMAN";2007;"SAM NO";"2013-04-29"
16001602;"POPULAIRE";"A DATILÓGRAFA";2012;"RÉGIS ROINSARD";"2013-04-29"
16001603;"TO THE WONDER";"AMOR PLENO";2012;"TERRENCE MALICK";"2013-04-29"
709960;"ODEIO O DIA DOS NAMORADOS";"ODEIO O DIA DOS NAMORADOS";2013;"ROBERTO SANTUCCI FILHO";"2013-04-29"
707519;"FAMÍLIA";"FAMÍLIA";2013;"GUILHERME FRANKLIN REIS";"2013-04-25"
15004902;"LA VOZ DORMIDA";"A VOZ ADORMECIDA";2011;"BENITO ZAMBRANO";"2013-04-24"
16002338;"ESCAPE FROM PLANET EARTH";"A FUGA DO PLANETA TERRA";2013;"CAL BRUNKER";"2013-04-24"
580610;"SHOW DE BUNDAS";"SHOW DE BUNDAS";2011;"JULIANO COSTA BENDAZOLI";"2013-04-24"
707777;"MADEIREIROS";"MADEIREIROS";2005;"JOSE BASTOS PADILHA NETO";"2013-04-24"
16001807;"AMOR EN TRANSITO";"AMOR EM TRÂNSITO";2010;"LUCAS BLANCO";"2013-04-18"
651837;"TABU";"TABU";2012;"MIGUEL EDUARDO GOMES";"2013-04-17"
15001063;"THE BIG WEDDING";"O CASAMENTO DO ANO";2013;"JUSTIN ZACKHAM";"2013-04-16"
15004101;"ALCESTE À BICYCLETTE";"PEDALANDO COM MOLIÈRE";2013;"PHILIPPE LE GUAY";"2013-04-16"
15004102;"DARK SKIES";"OS ESCOLHIDOS";2013;"SCOTT STEWART";"2013-04-16"
15004113;"SCARY MOVIE 5";"TODO MUNDO EM PÂNICO 5";2013;"MALCOLM D. LEE";"2013-04-16"
16001605;"CAMILLE REWINDS";"CAMILLE OUTRA VEZ";2012;"NOÉMIE LVOVSKY";"2013-04-16"
14025183;"STAR TREK INTO THE DARKNESS";"STAR TREK - ALÉM DA ESCURIDÃO";2013;"J.J. ABRAMS";"2013-04-15"
15007623;"IDENTITY THIEF";"UMA LADRA SEM LIMITES";2013;"SETH GORDON";"2013-04-15"
16001607;"CSAK A SZÉL";"APENAS O VENTO";2012;"BENEDEK FLIEGAUF";"2013-04-12"
635436;"KÁTIA";"KÁTIA";2012;"KARLA HOLANDA DE ARAUJO";"2013-04-11"
708336;"VENDO OU ALUGO";"VENDO OU ALUGO";2013;"BETSE PALMEIRA DE PAULA";"2013-04-11"
15005470;"LES SAVEURS DU PALAIS";"OS SABORES DO PALÁCIO";2012;"CHRISTIAN VINCENT";"2013-04-09"
15009276;"TRANCE";"EM TRANSE";2013;"DANNY BOYLE";"2013-04-09"
16001608;"LES ADIEUX À LA REINE";"ADEUS, MINHA RAINHA";2012;"BENOÎT JACQUOT";"2013-04-09"
16001609;"RENOIR";"RENOIR";2012;"GILLES BOURDOS";"2013-04-09"
16001863;"SILENT HILL: REVELATION";"SILENT HILL: REVELAÇÃO";2012;"MICHAEL J. BASSETT";"2013-04-09"
708909;"SOMOS TÃO JOVENS";"SOMOS TÃO JOVENS";2011;"ANTONIO CARLOS DA FONTOURA";"2013-04-09"
15005239;"L'HOMME QUI RIT";"O HOMEM QUE RI";2012;"JEAN-PIERRE AMÉRIS";"2013-04-08"
658409;"JUAN E A BAILARINA";"JUAN E A BAILARINA";2011;"RAPHAEL GEYER AGUINAGA";"2013-04-08"
707902;"PAULO MOURA - ALMA BRASILEIRA";"PAULO MOURA - ALMA BRASILEIRA";2013;"EDUARDO ESCOREL DE MORAES";"2013-04-08"
710094;"DOSSIÊ JANGO";"DOSSIÊ JANGO";2012;"PAULO HENRIQUE SILVEIRA FONTENELLE BIZERRIL";"2013-04-08"
587536;"OLHE PRA MIM DE NOVO";"OLHE PRA MIM DE NOVO";2011;"CLAUDIA PRISCILLA ANDRADE GOIFMAN";"2013-04-04"
16001867;"MONSIEUR LAZHAR";"O QUE TRAZ BOAS NOVAS";2011;"PHILIPPE FALARDEAU";"2013-04-03"
16001861;"BORE MY ASSHOLE";"PARAISO ANAL";2006;"JOHN STRONG";"2013-04-02"
16001883;"THE PAPERBOY";"OBSESSÃO";2012;"LEE DANIELS";"2013-04-02"
649613;"CAUSOS DA MELHOR IDADE - DE CACHOEIRA DAS TRÊS MOÇAS A PEDRO LEOPOLDO";"CAUSOS DA MELHOR IDADE - DE CACHOEIRA DAS TRÊS MOÇAS A PEDRO LEOPOLDO";2012;"ERNANE SILVA ALVES";"2013-04-02"
16005638;"DOS MÁS DOS";"2 MAIS 2";2012;"DIEGO KAPLAN";"2013-04-01"
16001880;"SEXUAL RAGE";"ORGIA TOTAL";2007;"DICK DAWES";"2013-03-28"
580762;"SUPERSTARS";"SUPERSTARS";2011;"JULIANO COSTA BENDAZOLI";"2013-03-28"
16002345;"GINGER & ROSA";"GINGER & ROSA";2012;"SALLY POTTER";"2013-03-27"
598623;"RÂNIA";"RÂNIA";2011;"ROBERTA DE PAULA MARQUES";"2013-03-27"
15006926;"IRON MAN 3";"HOMEM DE FERRO 3";2013;"SHANE BLACK";"2013-03-22"
16001881;"VIRGIN'S SURGEON";"MINHA PRIMEIRA VEZ PARA AS CÂMERAS";2005;"MARK DAVIS";"2013-03-22"
16001882;"MILF SQUIRTERS 4";"ESGUICHANDO DE PRAZER";2006;"PAUL EVANS";"2013-03-22"
16001884;"THE LAST EXORCISM 2";"O ÚLTIMO EXORCISMO - PARTE 2";2013;"ED GASS-DONNELLY";"2013-03-22"
668725;"MULHERES AFRICANAS A REDE INVISÍVEL";"MULHERES AFRICANAS A REDE INVISÍVEL";2012;"CARLOS ALBERTO NASCIMBENI";"2013-03-19"
700727;"ANGIE";"ANGIE";2011;"MARCIO GARCIA MACHADO";"2013-03-14"
673062;"NOITES DE REIS";"NOITES DE REIS";2012;"VINICIUS DIAS DOS REIS";"2013-03-13"
581577;"O ABISMO PRATEADO";"O ABISMO PRATEADO";2011;"KARIM AINOUZ";"2013-03-12"
16001888;"BIG BOTTOMS UP";"NAOMI A RAINHA DO PRAZER";2006;"JUAN CUBA";"2013-03-11"
16001889;"FUCK ME NOW";"F... ME AGORA";2006;"MARTIN DEL TORO";"2013-03-11"
16001890;"EL ÚLTIMO ELVIS";"O ÚLTIMO ELVIS";2012;"ARMANDO BO";"2013-03-11"
16001892;"APPROVED FOR ADOPTION";"APROVADO PARA ADOÇÃO";2012;"LAURENT BOILEAU, JUNG";"2013-03-11"
15005887;"THE CROODS";"OS CROODS";2013;"KIRK DE MICCO E CHRIS SANDERS";"2013-03-08"
16001891;"TROIS MONDES";"TRÊS MUNDOS";2012;"CATHERINE CORSINI";"2013-03-08"
14024422;"IO E TE";"EU E VOCÊ";2012;"BERNARDO BERTOLUCCI";"2013-03-07"
15002556;"THE HUNT";"A CAÇA";2012;"THOMAS VINTERBERG";"2013-03-07"
15004125;"21 & OVER";"FINALMENTE 18";2012;"JON LUCAS";"2013-03-07"
15008555;"DORMANT BEAUTY";"A BELA QUE DORME";2012;"MARCO BELLOCCHIO";"2013-03-07"
704472;"VAI QUE DÁ CERTO";"VAI QUE DÁ CERTO";2012;"MAURICIO CHICHARO DE FARIAS";"2013-03-07"
14025164;"OBLIVION";"OBLIVION";2013;"JOSEPH KOSINSKI";"2013-03-04"
14025166;"GI JOE: RETALIATION";"G.I. JOE: RETALIAÇÃO";2013;"JON M. CHU";"2013-03-04"
14025793;"MAMA";"MAMA";2013;"ANDY MUSCHIETTI";"2013-03-04"
16001612;"SOMETHING IN THE AIR";"DEPOIS DE MAIO";2012;"OLIVIER ASSAYAS";"2013-03-04"
16001789;"THE DOOR";"ATRÁS DA PORTA";2012;"ISTVÁN SZABÓ";"2013-03-04"
595093;"HOJE";"HOJE";2011;"MARCIA LELLIS DE SOUZA AMARAL";"2013-03-04"
708233;"FRANCISCO BRENNAND";"FRANCISCO BRENNAND";2012;"MARIANA BRENNAND FORTES";"2013-03-04"
708554;"A BUSCA";"A BUSCA";2012;"LUCIANO SALLES MARCONDES DE MOURA";"2013-03-04"
16001593;"SORELLE MAI";"IRMÃS JAMAIS";2010;"MARCO BELLOCCHIO";"2013-03-01"
16001893;"EVIL DEAD";"A MORTE DO DEMÔNIO";2013;"FEDE ALVAREZ";"2013-03-01"
596131;"SUPER NADA";"SUPER NADA";2011;"RUBENS ARNALDO REWALD";"2013-03-01"
643382;"FORA DO FIGURINO";"FORA DO FIGURINO";2011;"PAULO PELICO";"2013-03-01"
701897;"BONITINHA MAS ORDINÁRIA";"BONITINHA MAS ORDINÁRIA";2012;"MOACYR DE GOES FILHO";"2013-03-01"
16002346;"THE CALL";"CHAMADA DE EMERGÊNCIA";2013;"BRAD ANDERSON";"2013-02-28"
14024177;"CHICO & RITA";"CHICO & RITA";2010;"TONO ERRANDO";"2013-02-27"
14026423;"MUSIC NEVER STOPPED, THE";"MÚSICA NUNCA PAROU, A";2011;"JIM KOHLBERG";"2013-02-27"
15001718;"THE TEXAS CHAINSAW MASSACRE - THE BEGINNING";"O MASSACRE DA SERRA ELÉTRICA - O INÍCIO";2006;"JONATHAN LIEBESMAN";"2013-02-27"
15004988;"BIENVENUE PARMI NOUS";"SEJAM MUITO BEM-VINDOS";2012;"JEAN BECKER";"2013-02-27"
580755;"DELIRIO ANAL";"DELIRIO ANAL";2010;"JULIANO COSTA BENDAZOLI";"2013-02-26"
15002592;"JACK THE GIANT SLAYER";"JACK O CAÇADOR DE GIGANTES";2013;"BRYAN SINGER";"2013-02-25"
671319;"MEU PÉ DE LARANJA LIMA";"MEU PÉ DE LARANJA LIMA";2012;"MARCOS BERNSTEIN SEIXAS";"2013-02-25"
686164;"O ABAJOUR";"O ABAJOUR";2011;"SEBASTIÃO MARCOS GOMES";"2013-02-25"
14023710;"SLEEPING BEAUTY";"BELA ADORMECIDA";2014;"CASPER VAN DIEN";"2013-02-20"
15008732;"IN ANOTHER COUNTRY";"A VISITANTE FRANCESA";2012;"SANG-SOO HONG";"2013-02-20"
16001668;"CARMEN";"CARMEN";2006;"FRANCESCA ZAMBELLO";"2013-02-20"
16001669;"FAUST";"FAUSTO";2011;"DAVID MCVICAR";"2013-02-20"
16001788;"CONFESSION D'UN ENFANT DU SIECLE";"CONFISSÕES DE UM JOVEM APAIXONADO";2012;"SYLVIE VERHEYDE";"2013-02-20"
15006528;"REALITY";"REALITY - A GRANDE ILUSÃO";2012;"MATTEO GARRONE";"2013-02-19"
708716;"GRETA ORGASMO INFINITO";"GRETA: ORGASMO INFINITO";2009;"STEVE MORELLI";"2013-02-19"
16001667;"1 B.U.G./C.P.";"SÓ TEM PIRIGUETE";2008;"ROY ROGERS";"2013-02-18"
16001786;"MOVIE STAR";"BRIGITTA: O FILME DAS ESTRELAS";2007;"ROY ROGERS";"2013-02-18"
662030;"SEGREDOS DA TRIBO";"SEGREDOS DA TRIBO";2005;"JOSE BASTOS PADILHA NETO";"2013-02-18"
685461;"ELENA";"ELENA";2012;"ANA PETRA COSTA";"2013-02-18"
16001908;"THE FUTURE";"O FUTURO";2011;"MIRANDA JULY";"2013-02-08"
14023965;"PLAYING FOR KEEPS";"UM BOM PARTIDO";2012;"GABRIELE MUCCINO";"2013-02-07"
15004110;"BROKEN CITY";"LINHA DE AÇÃO";2013;"ALLEN HUGHES";"2013-02-07"
15004112;"SAFE HAVEN";"UM PORTO SEGURO";2013;"LASSE HALLSTROM";"2013-02-07"
15004118;"BULLET TO THE HEAD";"ALVO DUPLO";2012;"WALTER HILL";"2013-02-07"
15004135;"THE HOST";"A HOSPEDEIRA";2013;"ANDREW NICCOL";"2013-02-07"
14025961;"A GOOD DAY TO DIE HARD";"DURO DE MATAR: UM BOM DIA PARA MORRER";2013;"JOHN MOORE";"2013-02-06"
15001004;"THE ORANGES";"A FILHA DO MEU MELHOR AMIGO";2011;"JULIAN FARINO";"2013-02-06"
15004526;"THE SESSIONS";"AS SESSÕES";2012;"BEN LEWIN";"2013-02-06"
15006818;"A LATE QUARTET";"O ÚLTIMO CONCERTO";2012;"YARON ZILBERMAN";"2013-02-06"
679650;"ESPIA SÓ";"ESPIA SÓ";2012;"SATURNINO ANTONIO DA ROCHA";"2013-02-06"
16001715;"SNITCH";"O ACORDO";2013;"RIC ROMAN WAUGH";"2013-02-05"
645157;"CINE HOLLIÚDY";"CINE HOLLIÚDY";2012;"HALDER CATUNDA GOMES";"2013-02-05"
14025686;"LA BOHÈME";"LA BOHÈME";2014;"JOHN COPLEY";"2013-02-01"
580624;"REGINA RIZZI E O SEU JEITO DE AMAR";"REGINA RIZZI E O SEU JEITO DE AMAR";2010;"JULIANO COSTA BENDAZOLI";"2013-02-01"
15008034;"DEADFALL";"A FUGA";2012;"STEFAN RUZOWITZKY";"2013-01-30"
16001904;"BEYOND THE HILLS";"ALÉM DAS MONTANHAS";2012;"CRISTIAN MUNGIU";"2013-01-30"
16001911;"OZ THE GREAT AND POWERFUL";"OZ MÁGICO E PODEROSO";2013;"SAM RAIMI";"2013-01-29"
16002347;"SIDE EFFECTS";"TERAPIA DE RISCO";2013;"STEVEN SODERBERGH";"2013-01-29"
