"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
19001227;"GIRLS OF THE SUN";"FILHAS DO SOL";2018;"EVA HUSSON";"2019-05-09"
19002124;"O AMIGO DO REI";"O AMIGO DO REI";2019;"ANDRE VILELA D ELIA";"2019-05-09"
17004113;"MÚSICA PARA QUANDO AS LUZES SE APAGAM";"MÚSICA PARA QUANDO AS LUZES SE APAGAM";2015;"ISMAEL CANEPELLE";"2019-05-08"
19001927;"CEZANE ET MOI";"CEZANNE E EU";2016;"DANIELE THOMPSON";"2019-05-08"
18001351;"DEPOIS DO FIM";"DEPOIS DO FIM";2018;"ALVARO TEIXEIRA DE CARVALHO NETO";"2019-05-07"
19002009;"PYEWACKET";"PYEWACKET - ENTIDADE MALIGNA";2017;"ADAM MACDONALD";"2019-05-03"
18005562;"RINDO À TOA";"RINDO À TOA";2018;"ALEXANDRE PINTO CARVALHO BRAGA";"2019-05-02"
18006027;"LITTLE MISS DOLITTLE";"A PEQUENA TRAVESSA";2018;"JOACHIM MASANNEK";"2019-05-02"
19001838;"LA DERNIÈRE FOLIE DE CLAIRE DARLING";"A ÚLTIMA LOUCURA DE CLAIRE DARLING";2018;"JULIE BERTUCCELLI";"2019-05-02"
19001994;"NÃO VAI TER GOLPE!";"NÃO VAI TER GOLPE!";2018;"ALEXANDRE SANTOS";"2019-05-02"
18001749;"CHRISTABEL";"CHRISTABEL";2017;"ALEX LEVY HELLER";"2019-04-30"
19001891;"MISSÃO CUPIDO";"MISSÃO CUPIDO";2017;"RODRIGO BITTENCOURT RAMOS";"2019-04-26"
19001957;"UNA STORIA SENZA NOME";"O CARAVAGGIO ROUBADO";2018;"ROBERTO ANDÒ";"2019-04-26"
19000840;"RASSVET";"PESADELO";2018;"PAVEL SIDOROV";"2019-04-25"
19000843;"GRETA";"OBSESSÃO";2018;"NEIL JORDAN";"2019-04-25"
19001881;"ALADDIN";"ALADDIN";2019;"GUY RITCHIE";"2019-04-25"
19000936;"ESTOU ME GUARDANDO PARA QUANDO O CARNAVAL CHEGAR";"ESTOU ME GUARDANDO PARA QUANDO O CARNAVAL CHEGAR";2019;"MARCELO FERREIRA DE OLIVEIRA GOMES";"2019-04-24"
19000470;1985;"O ANO DE 1985";2018;"YEN TAN";"2019-04-22"
19001643;"ROCKETMAN";"ROCKETMAN";2019;"DEXTER FLETCHER";"2019-04-22"
19001771;"UMA";"UMA";2017;"PALACKAPILLIL JOSE ANTONY";"2019-04-22"
18004945;"JIANG HU ER NV";"AMOR ATÉ ÀS CINZAS";2018;"ZHANGKE JIA";"2019-04-18"
19001617;"A DOG'S JOURNEY";"JUNTOS PARA SEMPRE";2019;"GAIL MANCUSO";"2019-04-18"
19001619;"DOLOR Y GLORIA";"DOR E GLÓRIA";2019;"PEDRO ALMODOVAR";"2019-04-18"
19001620;"MA";"MA";2019;"TATE TAYLOR";"2019-04-18"
19001621;"THE SECRET LIFE OF PETS 2";"PETS: A VIDA SECRETA DOS BICHOS 2";2019;"CHRIS RENAUD";"2019-04-18"
18000912;"A PARTE DO MUNDO QUE ME PERTENCE";"A PARTE DO MUNDO QUE ME PERTENCE";2017;"MARCOS ALMEIDA PIMENTEL";"2019-04-17"
18004907;"RICORDI?";"ENTRE TEMPOS";2018;"VALERIO MIELI";"2019-04-17"
18005860;"45 DIAS SEM VOCÊ";"45 DIAS SEM VOCÊ";2018;"RAFAEL ESTEVES CANDIDO GOMES";"2019-04-17"
631870;"O DIA QUE DUROU 21 ANOS";"O DIA QUE DUROU 21 ANOS";2011;"CAMILO GALLI TAVARES";"2019-04-17"
18004905;"LONG DAY'S JOURNEY INTO NIGHT";"LONGA JORNADA NOITE ADENTRO";2018;"BI GAN";"2019-04-16"
19001655;"CÓMPRAME UN REVOLVER";"COMPRA-ME UM REVÓLVER";2018;"JULIO HERNÁNDEZ CORDÓN";"2019-04-16"
